RecommendedRank,RecommendedModel,StockCode,Description,ForecastWeek,ProbabilityOfSale,QuantityIfSold,TwoStageExpected,TwoStageHardGate,XGBoostPoisson,NaiveLag1,MovingAverage4,WeeksSinceLastSale
1,XGBoostPoisson,23084,RABBIT NIGHT LIGHT,2011-12-05/2011-12-11,0.99775785,876.5987,874.63324,876.5987,1182.8958,4452.0,3422.25,0.0
2,XGBoostPoisson,85099B,JUMBO BAG RED RETROSPOT,2011-12-05/2011-12-11,0.9985975,1441.7191,1439.6971,1441.7191,1070.4235,1050.0,1401.0,0.0
3,XGBoostPoisson,22197,SMALL POPCORN HOLDER,2011-12-05/2011-12-11,0.9985975,1325.7031,1323.8439,1325.7031,896.85815,3271.0,3317.0,0.0
4,XGBoostPoisson,20668,DISCO BALL CHRISTMAS DECORATION,2011-12-05/2011-12-11,0.99240506,788.2327,782.24615,788.2327,851.3297,1656.0,1186.5,0.0
5,XGBoostPoisson,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2011-12-05/2011-12-11,0.99583334,1083.5981,1079.0831,1083.5981,845.6424,1562.0,1710.5,0.0
6,XGBoostPoisson,84879,ASSORTED COLOUR BIRD ORNAMENT,2011-12-05/2011-12-11,0.9977579,1343.9047,1340.8915,1343.9047,807.89087,953.0,1257.25,0.0
7,XGBoostPoisson,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-12-05/2011-12-11,0.9985975,1202.6318,1200.9452,1202.6318,796.86707,689.0,985.25,0.0
8,XGBoostPoisson,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2011-12-05/2011-12-11,0.9985975,1001.05365,999.64966,1001.05365,769.68976,725.0,879.75,0.0
9,XGBoostPoisson,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,2011-12-05/2011-12-11,0.98496234,712.30884,701.5974,712.30884,751.3764,867.0,1244.5,0.0
10,XGBoostPoisson,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,2011-12-05/2011-12-11,0.99583334,713.97473,710.9998,713.97473,716.00287,597.0,883.0,0.0
11,XGBoostPoisson,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,2011-12-05/2011-12-11,0.9977578,781.8,780.04706,781.8,696.9056,1049.0,1163.5,0.0
12,XGBoostPoisson,21212,PACK OF 72 RETROSPOT CAKE CASES,2011-12-05/2011-12-11,0.99859744,732.0374,731.0107,732.0374,696.90356,546.0,459.25,0.0
13,XGBoostPoisson,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,2011-12-05/2011-12-11,0.98614955,604.7788,596.40234,604.7788,683.1167,728.0,806.75,0.0
14,XGBoostPoisson,22952,60 CAKE CASES VINTAGE CHRISTMAS,2011-12-05/2011-12-11,0.9958334,1085.0864,1080.5653,1085.0864,658.1958,1031.0,1006.5,0.0
15,XGBoostPoisson,23203,JUMBO BAG VINTAGE DOILY ,2011-12-05/2011-12-11,0.9985975,725.2457,724.2286,725.2457,632.2203,336.0,921.75,0.0
16,XGBoostPoisson,23344,JUMBO BAG 50'S CHRISTMAS ,2011-12-05/2011-12-11,0.9977579,918.712,916.65216,918.712,591.52856,886.0,1006.25,0.0
17,XGBoostPoisson,84946,ANTIQUE SILVER TEA GLASS ETCHED,2011-12-05/2011-12-11,0.9985975,692.5627,691.5914,692.5627,566.96423,489.0,738.5,0.0
18,XGBoostPoisson,22492,MINI PAINT SET VINTAGE ,2011-12-05/2011-12-11,0.9985975,669.566,668.6269,669.566,554.5118,301.0,776.5,0.0
19,XGBoostPoisson,21790,VINTAGE SNAP CARDS,2011-12-05/2011-12-11,0.99859744,687.6939,686.7294,687.6939,532.43005,667.0,662.0,0.0
20,XGBoostPoisson,22355,CHARLOTTE BAG SUKI DESIGN,2011-12-05/2011-12-11,0.9985975,517.50543,516.7796,517.50543,491.04047,712.0,573.25,0.0
21,XGBoostPoisson,21810,CHRISTMAS HANGING STAR WITH BELL,2011-12-05/2011-12-11,0.9695238,503.97766,488.61832,503.97766,478.1834,406.0,740.25,0.0
22,XGBoostPoisson,23310,BUBBLEGUM RING ASSORTED,2011-12-05/2011-12-11,0.9985975,614.3474,613.4858,614.3474,469.79907,511.0,548.0,0.0
23,XGBoostPoisson,22865,HAND WARMER OWL DESIGN,2011-12-05/2011-12-11,0.9938196,849.61896,844.368,849.61896,461.9535,593.0,581.5,0.0
24,XGBoostPoisson,22178,VICTORIAN GLASS HANGING T-LIGHT,2011-12-05/2011-12-11,0.9985975,622.29364,621.4209,622.29364,433.73468,749.0,464.5,0.0
25,XGBoostPoisson,22386,JUMBO BAG PINK POLKADOT,2011-12-05/2011-12-11,0.9985975,616.4077,615.5432,616.4077,421.23685,436.0,431.5,0.0
26,XGBoostPoisson,22469,HEART OF WICKER SMALL,2011-12-05/2011-12-11,0.9985975,551.60614,550.8325,551.60614,418.01495,809.0,422.0,0.0
27,XGBoostPoisson,21915,RED  HARMONICA IN BOX ,2011-12-05/2011-12-11,0.9849624,475.3351,468.18723,475.3351,415.9239,1120.0,538.5,0.0
28,XGBoostPoisson,22065,CHRISTMAS PUDDING TRINKET POT ,2011-12-05/2011-12-11,0.98614967,273.54218,269.75354,273.54218,415.0288,186.0,408.0,0.0
29,XGBoostPoisson,23301,GARDENERS KNEELING PAD KEEP CALM ,2011-12-05/2011-12-11,0.9985975,528.9479,528.20605,528.9479,405.17447,632.0,622.5,0.0
30,XGBoostPoisson,22338,STAR DECORATION PAINTED ZINC ,2011-12-05/2011-12-11,0.9736842,548.6481,534.20996,548.6481,402.71112,446.0,476.0,0.0
31,XGBoostPoisson,22866,HAND WARMER SCOTTY DOG DESIGN,2011-12-05/2011-12-11,0.9886148,778.553,769.68896,778.553,400.37576,440.0,515.0,0.0
32,XGBoostPoisson,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2011-12-05/2011-12-11,0.9849624,579.25037,570.53986,579.25037,392.94327,438.0,450.25,0.0
33,XGBoostPoisson,23355,HOT WATER BOTTLE KEEP CALM,2011-12-05/2011-12-11,0.9985975,402.87967,402.31464,402.87967,389.62256,476.0,491.75,0.0
34,XGBoostPoisson,20724,RED RETROSPOT CHARLOTTE BAG,2011-12-05/2011-12-11,0.99859756,556.5785,555.7979,556.5785,373.19873,550.0,573.0,0.0
35,XGBoostPoisson,23343,JUMBO BAG VINTAGE CHRISTMAS ,2011-12-05/2011-12-11,0.99859744,562.0879,561.29956,562.0879,371.61383,665.0,550.25,0.0
36,XGBoostPoisson,23077,DOUGHNUT LIP GLOSS ,2011-12-05/2011-12-11,0.9985975,482.3232,481.64676,482.3232,360.28784,246.0,551.0,0.0
37,XGBoostPoisson,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,2011-12-05/2011-12-11,0.9977578,472.6855,471.62564,472.6855,351.92685,552.0,522.25,0.0
38,XGBoostPoisson,23201,JUMBO BAG ALPHABET,2011-12-05/2011-12-11,0.9985975,517.67633,516.9503,517.67633,351.50742,767.0,575.0,0.0
39,XGBoostPoisson,20971,PINK BLUE FELT CRAFT TRINKET BOX,2011-12-05/2011-12-11,0.99583334,318.6048,317.27728,318.6048,348.81036,256.0,367.25,0.0
40,XGBoostPoisson,22867,HAND WARMER BIRD DESIGN,2011-12-05/2011-12-11,0.99583334,602.6292,600.1183,602.6292,346.53583,258.0,366.0,0.0
41,XGBoostPoisson,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,2011-12-05/2011-12-11,0.99775785,629.1472,627.7366,629.1472,343.5303,345.0,568.75,0.0
42,XGBoostPoisson,23439,HAND WARMER RED LOVE HEART,2011-12-05/2011-12-11,0.9985975,352.00705,351.51337,352.00705,332.3633,256.0,398.25,0.0
43,XGBoostPoisson,35953,FOLKART STAR CHRISTMAS DECORATIONS,2011-12-05/2011-12-11,0.9695238,422.7881,409.9031,422.7881,330.74817,282.0,423.25,0.0
44,XGBoostPoisson,21787,RAIN PONCHO RETROSPOT,2011-12-05/2011-12-11,0.9886148,340.14676,336.2741,340.14676,327.94946,1215.0,616.25,0.0
45,XGBoostPoisson,22616,PACK OF 12 LONDON TISSUES ,2011-12-05/2011-12-11,0.99775785,346.40384,345.62714,346.40384,324.63052,636.0,584.75,0.0
46,XGBoostPoisson,20725,LUNCH BAG RED RETROSPOT,2011-12-05/2011-12-11,0.9985975,471.88184,471.22003,471.88184,319.81436,331.0,453.0,0.0
