StockCode,quantity,revenue,rows
POST,5239,122783.13,1805
DOT,1386,287752.75,1386
15056BL,8406,42922.82,839
M,8816,338793.72000000003,837
C2,266,13326.0,265
79323LP,1351,7982.97,158
18098c,283,1433.08,130
15056n,173,2170.4,116
47566b,212,1761.2599999999998,113
72349b,186,773.73,106
85123a,492,3284.8999999999996,95
84970s,363,763.24,94
84997b,504,4239.67,84
15056bl,110,1381.02,84
82494l,361,3015.0,82
84997d,363,3031.06,80
79323GR,518,3107.7400000000002,78
84997a,173,1440.33,78
84997c,339,2842.81,76
47591d,253,1274.3799999999999,72
84509a,102,762.68,71
84970l,229,478.82,62
72801d,96,237.76,58
84510a,75,185.7,58
85049e,256,853.77,56
84873a,84,928.3199999999999,55
85049g,106,259.3,49
84030e,116,942.8800000000001,47
85049a,398,1332.8,46
85039a,63,209.16,43
47559b,151,501.59,42
84509c,62,467.64,41
84989a,74,150.57,41
84872a,52,568.91,40
84559a,57,95.69999999999999,40
72807c,54,460.08000000000004,40
85114c,176,582.75,39
15056p,45,565.38,37
48173c,68,1095.81,36
ADJUST,36,8897.929999999998,36
72801c,60,148.75,35
84510c,53,131.48,33
BANK CHARGES,33,504.241,33
85040a,50,166.32,33
85014b,37,465.96000000000004,33
84884a,45,377.73,33
84993a,49,41.05,29
DCGS0058,40,33.160000000000004,28
85014a,33,416.12,28
84660c,31,233.98,28
72351a,37,154.89,28
gift_0001_20,28,471.06,26
82001s,108,806.16,25
85099b,419,2111.64,25
85099f,201,1016.3599999999999,25
84559b,32,53.54,25
gift_0001_30,24,610.09,24
35004c,26,330.72,24
DCGSSGIRL,92,295.63,23
85232b,25,254.47,22
DCGSSBOY,77,251.35,21
84796a,28,234.28,20
72807b,26,220.94000000000003,19
84596e,27,67.77,17
84795b,19,317.71999999999997,17
85114a,56,185.64000000000001,17
PADS,17,0.017,17
84797a,17,187.57999999999998,16
79066k,26,42.71,16
84558a,18,107.3,16
84797b,18,198.84,16
85114b,45,149.73000000000002,16
