StockCode,Week,quantity,revenue,invoices,average_price,countries
10002,2009-12-07/2009-12-13,24,21.25,4,1.0625,2
10002,2009-12-14/2009-12-20,37,32.3,3,1.1333333333333333,1
10002,2009-12-21/2009-12-27,14,12.75,3,1.1333333333333333,1
10002,2010-01-04/2010-01-10,15,12.75,2,0.85,1
10002,2010-01-11/2010-01-17,191,162.35,4,0.85,2
10002,2010-01-18/2010-01-24,41,35.66,5,1.012,1
10002,2010-01-25/2010-01-31,44,38.209999999999994,6,0.985,1
10002,2010-02-01/2010-02-07,16,14.41,3,1.1199999999999999,2
10002,2010-02-08/2010-02-14,43,36.55,3,0.85,2
10002,2010-02-15/2010-02-21,37,32.26,4,1.0525,2
10002,2010-02-22/2010-02-28,161,136.85,5,0.85,2
10002,2010-03-01/2010-03-07,455,337.99,6,0.9285714285714286,2
10002,2010-03-08/2010-03-14,28,27.04,3,1.1199999999999999,2
10002,2010-03-15/2010-03-21,25,21.25,2,0.85,1
10002,2010-03-22/2010-03-28,85,72.25,4,0.85,1
10002,2010-03-29/2010-04-04,84,65.16,4,0.7849999999999999,2
10002,2010-04-05/2010-04-11,747,540.05,7,0.7757142857142857,1
10002,2010-04-12/2010-04-18,47,39.949999999999996,4,0.85,1
10002,2010-04-19/2010-04-25,267,200.95,4,0.8175,2
10002,2010-04-26/2010-05-02,35,32.18,7,1.197142857142857,2
10002,2010-05-03/2010-05-09,162,134.57999999999998,8,0.83375,3
10002,2010-05-10/2010-05-16,1076,817.0,6,0.9199999999999999,2
10002,2010-05-17/2010-05-23,164,139.39999999999998,7,0.85,3
10002,2010-05-24/2010-05-30,63,66.50999999999999,12,1.1199999999999999,3
10002,2010-05-31/2010-06-06,89,78.08,8,1.15375,3
10002,2010-06-07/2010-06-13,128,113.78,12,0.9066666666666666,2
10002,2010-06-14/2010-06-20,205,174.25,6,0.85,2
10002,2010-06-21/2010-06-27,25,24.49,7,1.197142857142857,1
10002,2010-06-28/2010-07-04,36,30.599999999999998,7,0.85,1
10002,2010-07-05/2010-07-11,129,116.94,6,1.39,3
10002,2010-07-12/2010-07-18,33,28.05,4,0.85,2
10002,2010-07-19/2010-07-25,271,204.35,7,0.8314285714285715,2
10002,2010-07-26/2010-08-01,69,58.65,6,0.85,1
10002,2010-08-02/2010-08-08,236,175.41,6,0.9633333333333333,1
10002,2010-08-09/2010-08-15,65,56.87,8,1.0525,1
10002,2010-08-16/2010-08-22,2,3.32,2,1.66,1
10002,2010-08-23/2010-08-29,272,205.2,5,0.8240000000000001,2
10002,2010-08-30/2010-09-05,1,0.85,1,0.85,1
10002,2010-09-06/2010-09-12,44,37.4,5,0.85,2
10002,2010-09-13/2010-09-19,33,28.86,4,1.0525,2
10002,2010-09-20/2010-09-26,126,115.19999999999999,7,0.9657142857142856,4
10002,2010-09-27/2010-10-03,449,330.46,6,0.9633333333333333,1
10002,2010-10-04/2010-10-10,48,40.8,3,0.85,1
10002,2010-10-11/2010-10-17,486,370.82,10,0.9179999999999999,4
10002,2010-10-18/2010-10-24,47,39.949999999999996,5,0.85,1
10002,2010-10-25/2010-10-31,52,44.199999999999996,3,0.85,2
10002,2010-11-01/2010-11-07,170,144.5,10,0.85,4
10002,2010-11-08/2010-11-14,4,3.4,1,0.85,1
10002,2010-11-15/2010-11-21,718,542.85,14,0.8892857142857142,4
10002,2010-11-22/2010-11-28,51,46.589999999999996,10,1.093,2
10002,2010-11-29/2010-12-05,91,83.01999999999998,9,1.012,2
10002,2010-12-06/2010-12-12,138,127.02,14,1.197142857142857,3
10002,2010-12-13/2010-12-19,41,38.9,8,1.255,1
10002,2010-12-20/2010-12-26,2,3.32,1,1.66,1
10002,2011-01-03/2011-01-09,73,62.86,3,1.1199999999999999,2
10002,2011-01-10/2011-01-16,42,35.699999999999996,5,0.85,1
10002,2011-01-17/2011-01-23,76,65.38,8,0.9475,5
10002,2011-01-24/2011-01-30,17,15.23,3,1.11,1
10002,2011-01-31/2011-02-06,133,113.05,3,0.85,2
10002,2011-02-07/2011-02-13,1,0.85,1,0.85,1
10002,2011-02-14/2011-02-20,14,13.459999999999999,3,1.3699999999999999,1
10002,2011-02-21/2011-02-27,36,30.599999999999998,2,0.85,1
10002,2011-02-28/2011-03-06,4,4.96,2,1.24,1
10002,2011-03-07/2011-03-13,2,3.26,1,1.63,1
10002,2011-03-14/2011-03-20,11,10.129999999999999,3,1.11,1
10002,2011-03-21/2011-03-27,11,9.35,2,0.85,1
10002,2011-03-28/2011-04-03,126,107.1,3,0.85,2
10002,2011-04-11/2011-04-17,62,52.699999999999996,1,0.85,1
10002,2011-04-18/2011-04-24,1,0.85,1,0.85,1
10002R,2009-12-14/2009-12-20,2,10.34,1,5.17,1
10002R,2010-01-25/2010-01-31,1,5.06,1,5.06,1
10080,2010-07-26/2010-08-01,1,0.85,1,0.85,1
10080,2010-09-13/2010-09-19,6,5.1,1,0.85,1
10080,2010-11-15/2010-11-21,1,0.85,1,0.85,1
10080,2011-02-21/2011-02-27,2,1.7,1,0.85,1
10080,2011-06-20/2011-06-26,48,18.72,1,0.39,1
10080,2011-06-27/2011-07-03,12,4.68,1,0.39,1
10080,2011-07-04/2011-07-10,12,4.68,1,0.39,1
10080,2011-07-25/2011-07-31,12,4.68,1,0.39,1
10080,2011-08-01/2011-08-07,48,18.72,3,0.38999999999999996,1
10080,2011-08-22/2011-08-28,12,4.68,1,0.39,1
10080,2011-09-05/2011-09-11,36,14.04,2,0.39,1
10080,2011-09-19/2011-09-25,12,4.68,1,0.39,1
10080,2011-09-26/2011-10-02,12,4.68,1,0.39,1
10080,2011-10-10/2011-10-16,4,1.56,2,0.39,1
10080,2011-10-24/2011-10-30,2,0.78,1,0.39,1
10080,2011-10-31/2011-11-06,24,9.36,1,0.39,1
10080,2011-11-07/2011-11-13,24,9.36,1,0.39,1
10080,2011-11-14/2011-11-20,16,6.24,2,0.39,1
10080,2011-11-21/2011-11-27,27,10.530000000000001,2,0.39,1
