StockCode,quantity,revenue,invoices,active_weeks,median_price,description
85123A,91737,251100.59,5228,102,2.95,WHITE HANGING HEART T-LIGHT HOLDER
85099B,95108,177408.76,3897,102,1.95,JUMBO BAG RED RETROSPOT
22423,26103,325718.47,3880,89,12.75,REGENCY CAKESTAND 3 TIER
21212,93090,50706.5,3040,102,0.55,PACK OF 72 RETROSPOT CAKE CASES
20725,39747,70137.21,2991,102,1.65,LUNCH BAG RED RETROSPOT
84879,77387,125036.59999999999,2739,102,1.69,ASSORTED COLOUR BIRD ORNAMENT
47566,28085,147630.35,2649,101,4.95,PARTY BUNTING
22383,24946,42968.62,2378,97,1.65,LUNCH BAG SUKI  DESIGN 
21232,36757,47626.29,2361,102,1.25,STRAWBERRY CERAMIC TRINKET BOX
20727,26289,44899.47,2302,102,1.65,LUNCH BAG  BLACK SKULL.
21931,28682,60423.29,2265,102,1.95,JUMBO STORAGE BAG SUKI
22197,83366,75089.31999999999,2262,102,0.85,SMALL POPCORN HOLDER
22386,39335,76055.91,2232,96,1.95,JUMBO BAG PINK POLKADOT
22411,26970,56592.93,2163,96,1.95,JUMBO SHOPPER VINTAGE RED PAISLEY
22382,20148,33888.78,2135,97,1.65,LUNCH BAG SPACEBOY DESIGN 
22469,27811,48759.38,2131,77,1.65,HEART OF WICKER SMALL
22384,20689,33894.82,2088,96,1.65,LUNCH BAG PINK POLKADOT
21080,30593,25007.95,2080,102,0.85,SET/20 RED RETROSPOT PAPER NAPKINS 
84991,53277,26607.11,2077,102,0.55,60 TEATIME FAIRY CAKE CASES
20728,24357,41808.82,2025,102,1.65,LUNCH BAG CARS BLUE
