StockCode,quantity,revenue,invoices,active_weeks,median_price,description
84077,104335,24006.829999999998,992,101,0.29,WORLD WAR 2 GLIDERS ASSTD DESIGNS
85099B,95108,177408.76,3897,102,1.95,JUMBO BAG RED RETROSPOT
21212,93090,50706.5,3040,102,0.55,PACK OF 72 RETROSPOT CAKE CASES
85123A,91737,251100.59,5228,102,2.95,WHITE HANGING HEART T-LIGHT HOLDER
22197,83366,75089.31999999999,2262,102,0.85,SMALL POPCORN HOLDER
23166,77856,81492.97,237,31,1.25,MEDIUM CERAMIC TOP STORAGE JAR
84879,77387,125036.59999999999,2739,102,1.69,ASSORTED COLOUR BIRD ORNAMENT
17003,69909,14617.74,441,96,0.25,BROCADE RING PURSE 
21977,55321,27671.5,1947,102,0.55,PACK OF 60 PINK PAISLEY CAKE CASES
84991,53277,26607.11,2077,102,0.55,60 TEATIME FAIRY CAKE CASES
15036,43921,32754.26,977,100,0.83,ASSORTED COLOURS SILK FAN
22492,43326,27670.670000000002,726,82,0.65,MINI PAINT SET VINTAGE 
84755,40213,25025.59,1242,102,0.65,COLOUR GLASS T-LIGHT HOLDER HANGING
21213,39824,21137.56,1451,102,0.55,PACK OF 72 SKULL CAKE CASES
20725,39747,70137.21,2991,102,1.65,LUNCH BAG RED RETROSPOT
22386,39335,76055.91,2232,96,1.95,JUMBO BAG PINK POLKADOT
22178,39195,50797.88,1768,102,1.25,VICTORIAN GLASS HANGING T-LIGHT
22616,38582,12267.41,809,82,0.29,PACK OF 12 LONDON TISSUES 
21232,36757,47626.29,2361,102,1.25,STRAWBERRY CERAMIC TRINKET BOX
85099F,36575,67441.75,1801,101,1.95,JUMBO BAG STRAWBERRY
