StockCode,quantity,revenue,invoices,active_weeks,median_price,description
M,8816,338793.72000000003,776,102,2.95,Manual
22423,26103,325718.47,3880,89,12.75,REGENCY CAKESTAND 3 TIER
DOT,1386,287752.75,1386,101,153.20499999999998,DOTCOM POSTAGE
85123A,91737,251100.59,5228,102,2.95,WHITE HANGING HEART T-LIGHT HOLDER
85099B,95108,177408.76,3897,102,1.95,JUMBO BAG RED RETROSPOT
47566,28085,147630.35,2649,101,4.95,PARTY BUNTING
84879,77387,125036.59999999999,2739,102,1.69,ASSORTED COLOUR BIRD ORNAMENT
POST,5239,122783.13,1805,102,18.0,POSTAGE
22086,31533,106989.90000000001,1864,82,2.95,PAPER CHAIN KIT 50'S CHRISTMAS 
23166,77856,81492.97,237,31,1.25,MEDIUM CERAMIC TOP STORAGE JAR
79321,15447,78292.91,1099,95,4.95,CHILLI LIGHTS
22386,39335,76055.91,2232,96,1.95,JUMBO BAG PINK POLKADOT
22197,83366,75089.31999999999,2262,102,0.85,SMALL POPCORN HOLDER
20725,39747,70137.21,2991,102,1.65,LUNCH BAG RED RETROSPOT
85099F,36575,67441.75,1801,101,1.95,JUMBO BAG STRAWBERRY
48138,10022,66554.66,1650,101,7.49,DOORMAT UNION FLAG
84347,29049,65821.65,695,75,2.55,ROTATING SILVER ANGELS T-LIGHT HLDR
20685,9569,64950.27,1670,101,7.95,DOORMAT RED RETROSPOT
21843,6001,63289.439999999995,1484,102,10.95,RED RETROSPOT CAKE STAND
22502,3766,60880.3,924,69,5.95,PICNIC BASKET WICKER SMALL
