Week,quantity,revenue,invoices,active_products,quantity_change_pct,quantity_4_week_mean
2009-12-07/2009-12-13,116302,240516.41,531,2361,,116302.0
2009-12-14/2009-12-20,136347,260473.31,492,2380,17.235301198603636,126324.5
2009-12-21/2009-12-27,27827,55189.58,108,1346,-79.59104344063309,93492.0
2010-01-04/2010-01-10,96093,168228.58,205,1442,245.32288784274266,94142.25
2010-01-11/2010-01-17,76193,163595.57,269,1970,-20.709104721467742,84115.0
2010-01-18/2010-01-24,135403,153725.871,267,1929,77.71055083800348,83879.0
2010-01-25/2010-01-31,82983,165605.09100000001,364,1880,-38.71406098830897,97668.0
2010-02-01/2010-02-07,64956,124084.092,295,1780,-21.723726546401068,89883.75
2010-02-08/2010-02-14,50850,90814.12,279,1648,-21.71623868464807,83548.0
2010-02-15/2010-02-21,176169,174496.562,313,1878,246.44837758112095,93739.5
2010-02-22/2010-02-28,89904,162109.952,314,1743,-48.96718491902662,95469.75
2010-03-01/2010-03-07,101459,165865.59,389,2135,12.85259832710446,104595.5
2010-03-08/2010-03-14,76121,141839.54,302,1878,-24.973634670162337,110913.25
2010-03-15/2010-03-21,156178,189513.731,354,1870,105.17071504578239,105915.5
2010-03-22/2010-03-28,134217,205712.8,406,1896,-14.061519548207812,116993.75
2010-03-29/2010-04-04,75342,158751.6,309,1790,-43.865531192024854,110464.5
2010-04-05/2010-04-11,84058,138173.69,295,1749,11.568580605771018,112448.75
2010-04-12/2010-04-18,82209,153156.411,313,1515,-2.19967165528564,93956.5
2010-04-19/2010-04-25,86259,180330.16,390,1848,4.926467904973908,81967.0
2010-04-26/2010-05-02,103184,188789.161,425,1866,19.62114098239025,88927.5
2010-05-03/2010-05-09,92902,163981.1,346,1759,-9.964723212901227,91138.5
2010-05-10/2010-05-16,107725,171271.11,366,1819,15.955523024262131,97517.5
2010-05-17/2010-05-23,85487,150202.74,342,1774,-20.643304711069852,97324.5
2010-05-24/2010-05-30,103458,159908.38,406,1785,21.02190976405769,97393.0
2010-05-31/2010-06-06,59926,108024.3,279,1791,-42.07697809739218,89149.0
2010-06-07/2010-06-13,122923,219386.54,474,1978,105.12465373961217,92948.5
2010-06-14/2010-06-20,82021,171986.58,344,1794,-33.274488907690184,92082.0
2010-06-21/2010-06-27,65451,126710.01,328,1889,-20.20214335353141,82580.25
2010-06-28/2010-07-04,107003,180826.92,373,1752,63.48566102886129,94349.5
2010-07-05/2010-07-11,74918,153793.34,348,1700,-29.985140603534475,82348.25
2010-07-12/2010-07-18,84927,158769.84,355,1783,13.359940201286747,83074.75
2010-07-19/2010-07-25,82649,147566.2,351,1757,-2.6823036254665755,87374.25
2010-07-26/2010-08-01,74599,161921.8,354,1726,-9.739984754806475,79273.25
2010-08-02/2010-08-08,74812,130786.06,318,1753,0.2855266156382763,79246.75
2010-08-09/2010-08-15,182182,179584.7,337,1829,143.51975618884669,103560.5
2010-08-16/2010-08-22,107912,169503.14,338,1871,-40.76692538230999,109876.25
2010-08-23/2010-08-29,83596,148827.32,337,1706,-22.53317517977611,112125.5
2010-08-30/2010-09-05,87495,145186.61,292,1662,4.664098760706259,115296.25
2010-09-06/2010-09-12,75070,132685.23,314,1739,-14.200811474941421,88518.25
2010-09-13/2010-09-19,101220,179065.131,396,1899,34.834154788863735,86845.25
2010-09-20/2010-09-26,139562,245359.91,486,1899,37.87986563920174,100836.75
2010-09-27/2010-10-03,237249,332442.17,562,2041,69.99541422450237,138275.25
2010-10-04/2010-10-10,164195,292718.0,544,2071,-30.79212135772964,160556.5
2010-10-11/2010-10-17,172992,326358.22000000003,574,2130,5.357654008952761,178499.5
2010-10-18/2010-10-24,127369,245780.4,557,2165,-26.37289585645579,175451.25
2010-10-25/2010-10-31,112884,219916.28,478,2012,-11.372468968116255,144360.0
2010-11-01/2010-11-07,163076,287536.26,529,2166,44.46334290067679,144080.25
2010-11-08/2010-11-14,177851,380781.021,664,2352,9.060192793544108,145295.0
2010-11-15/2010-11-21,170489,354015.071,638,2351,-4.139420076356048,156075.0
2010-11-22/2010-11-28,147222,302998.09,686,2351,-13.647214776319883,164659.5
2010-11-29/2010-12-05,157005,323632.17,655,2272,6.645066634062835,163141.75
2010-12-06/2010-12-12,121248,329108.22000000003,530,2293,-22.77443393522499,148991.0
2010-12-13/2010-12-19,106938,215357.04,444,2149,-11.802256532066513,133103.25
2010-12-20/2010-12-26,39351,92318.0,160,1626,-63.20204230488695,106135.5
2011-01-03/2011-01-09,76808,133429.72,242,1803,95.18690757541104,86086.25
2011-01-10/2011-01-16,89300,192991.95,258,1984,16.263930840537455,78099.25
2011-01-17/2011-01-23,144670,215227.01,232,1957,62.00447928331467,87532.25
2011-01-24/2011-01-30,62915,124534.22,292,1743,-56.5113707057441,93423.25
2011-01-31/2011-02-06,69369,125847.36,297,1633,10.258284987681797,91563.5
2011-02-07/2011-02-13,51511,106893.22,222,1605,-25.743487725064508,82116.25
2011-02-14/2011-02-20,81133,143354.21,296,1740,57.5061637320184,66232.0
2011-02-21/2011-02-27,84454,148404.19,290,1700,4.093278937053979,71616.75
2011-02-28/2011-03-06,69284,132503.55,287,1747,-17.962441092192194,71595.5
2011-03-07/2011-03-13,69241,135076.46,295,1717,-0.0620633912591706,76028.0
2011-03-14/2011-03-20,87512,161082.62,340,1788,26.387544951690465,77622.75
2011-03-21/2011-03-27,77957,149292.66,325,1792,-10.918502605356984,75998.5
2011-03-28/2011-04-03,106595,192398.08,359,1793,36.73563631232604,85326.25
2011-04-04/2011-04-10,67814,134211.44,318,1724,-36.38163140860266,84969.5
2011-04-11/2011-04-17,87406,149357.401,370,1592,28.890789512490045,84943.0
2011-04-18/2011-04-24,80867,141530.36,268,1760,-7.481179781708347,85670.5
