Month,quantity,revenue,invoices,active_products
2009-12,425461,822483.95,1682,3057
2010-01,390672,651155.112,1105,2687
2010-02,381879,551504.726,1201,2577
2010-03,526026,830915.261,1681,2888
2010-04,366705,678875.252,1462,2594
2010-05,395868,657705.5,1500,2574
2010-06,406820,749537.31,1645,2720
2010-07,337895,648810.27,1529,2612
2010-08,472380,695251.91,1425,2688
2010-09,583864,921696.991,1839,2719
2010-10,619996,1161902.22,2301,2842
2010-11,725161,1464293.142,2747,3033
2010-12,358019,821452.73,1559,2788
2011-01,387099,689811.61,1086,2573
2011-02,282934,522545.56,1100,2398
2011-03,376599,716215.26,1454,2503
2011-04,307953,536968.491,1246,2459
2011-05,395001,769296.61,1681,2458
2011-06,388511,760547.01,1533,2625
2011-07,399693,718076.121,1475,2670
2011-08,421020,757841.38,1361,2596
2011-09,569573,1056435.192,1837,2733
2011-10,621029,1151263.73,2040,2857
2011-11,751377,1503866.78,2769,2939
