StockCode,description,quantity,revenue,invoices,active_weeks,countries,median_price,first_sale,last_sale,quantity_per_invoice
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,104335,24006.829999999998,992,101,15,0.29,2009-12-07 13:07:00,2011-12-02 17:06:00,105.17641129032258
85099B,JUMBO BAG RED RETROSPOT,95108,177408.76,3897,102,22,1.95,2009-12-07 11:35:00,2011-12-04 13:55:00,24.405440082114445
21212,PACK OF 72 RETROSPOT CAKE CASES,93090,50706.5,3040,102,26,0.55,2009-12-07 10:33:00,2011-12-04 14:51:00,30.62171052631579
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91737,251100.59,5228,102,23,2.95,2009-12-07 08:13:00,2011-12-04 15:00:00,17.54724560061209
22197,SMALL POPCORN HOLDER,83366,75089.31999999999,2262,102,16,0.85,2009-12-07 11:05:00,2011-12-04 16:02:00,36.85499557913351
23166,MEDIUM CERAMIC TOP STORAGE JAR,77856,81492.97,237,31,10,1.25,2011-01-18 10:01:00,2011-12-02 16:39:00,328.50632911392404
84879,ASSORTED COLOUR BIRD ORNAMENT,77387,125036.59999999999,2739,102,19,1.69,2009-12-07 11:20:00,2011-12-04 14:01:00,28.25374224169405
17003,BROCADE RING PURSE,69909,14617.74,441,96,7,0.25,2009-12-07 17:56:00,2011-12-04 13:00:00,158.52380952380952
21977,PACK OF 60 PINK PAISLEY CAKE CASES,55321,27671.5,1947,102,24,0.55,2009-12-07 10:33:00,2011-12-04 15:19:00,28.413456599897277
84991,60 TEATIME FAIRY CAKE CASES,53277,26607.11,2077,102,22,0.55,2009-12-07 10:33:00,2011-12-04 15:19:00,25.650938854116514
15036,ASSORTED COLOURS SILK FAN,43921,32754.26,977,100,14,0.83,2009-12-07 11:19:00,2011-12-02 17:06:00,44.95496417604913
22492,MINI PAINT SET VINTAGE,43326,27670.670000000002,726,82,23,0.65,2010-05-06 11:50:00,2011-12-02 13:58:00,59.67768595041322
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,40213,25025.59,1242,102,13,0.65,2009-12-07 11:35:00,2011-12-01 16:22:00,32.37761674718197
21213,PACK OF 72 SKULL CAKE CASES,39824,21137.56,1451,102,21,0.55,2009-12-07 15:42:00,2011-12-04 15:19:00,27.445899379738112
20725,LUNCH BAG RED RETROSPOT,39747,70137.21,2991,102,21,1.65,2009-12-07 11:35:00,2011-12-04 15:19:00,13.288866599799398
22386,JUMBO BAG PINK POLKADOT,39335,76055.91,2232,96,17,1.95,2010-01-29 12:35:00,2011-12-04 13:59:00,17.62320788530466
22178,VICTORIAN GLASS HANGING T-LIGHT,39195,50797.88,1768,102,17,1.25,2009-12-07 10:51:00,2011-12-04 15:16:00,22.169117647058822
