StockCode,description,quantity,revenue,invoices,active_weeks,countries,median_price,first_sale,last_sale,quantity_per_invoice
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91737,251100.59,5228,102,23,2.95,2009-12-07 08:13:00,2011-12-04 15:00:00,17.54724560061209
85099B,JUMBO BAG RED RETROSPOT,95108,177408.76,3897,102,22,1.95,2009-12-07 11:35:00,2011-12-04 13:55:00,24.405440082114445
22423,REGENCY CAKESTAND 3 TIER,26103,325718.47,3880,89,31,12.75,2010-03-15 13:55:00,2011-12-04 16:02:00,6.7275773195876285
21212,PACK OF 72 RETROSPOT CAKE CASES,93090,50706.5,3040,102,26,0.55,2009-12-07 10:33:00,2011-12-04 14:51:00,30.62171052631579
20725,LUNCH BAG RED RETROSPOT,39747,70137.21,2991,102,21,1.65,2009-12-07 11:35:00,2011-12-04 15:19:00,13.288866599799398
84879,ASSORTED COLOUR BIRD ORNAMENT,77387,125036.59999999999,2739,102,19,1.69,2009-12-07 11:20:00,2011-12-04 14:01:00,28.25374224169405
47566,PARTY BUNTING,28085,147630.35,2649,101,21,4.95,2009-12-07 11:39:00,2011-12-04 14:51:00,10.602114005285014
22383,LUNCH BAG SUKI  DESIGN,24946,42968.62,2378,97,17,1.65,2010-01-22 16:28:00,2011-12-04 15:19:00,10.490328006728344
21232,STRAWBERRY CERAMIC TRINKET BOX,36757,47626.29,2361,102,24,1.25,2009-12-07 08:24:00,2011-12-04 15:47:00,15.56840321897501
20727,LUNCH BAG  BLACK SKULL.,26289,44899.47,2302,102,18,1.65,2009-12-07 10:48:00,2011-12-04 15:19:00,11.420069504778454
21931,JUMBO STORAGE BAG SUKI,28682,60423.29,2265,102,17,1.95,2009-12-07 13:48:00,2011-12-04 13:59:00,12.663134657836645
22197,SMALL POPCORN HOLDER,83366,75089.31999999999,2262,102,16,0.85,2009-12-07 11:05:00,2011-12-04 16:02:00,36.85499557913351
22386,JUMBO BAG PINK POLKADOT,39335,76055.91,2232,96,17,1.95,2010-01-29 12:35:00,2011-12-04 13:59:00,17.62320788530466
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,26970,56592.93,2163,96,19,1.95,2010-01-29 13:52:00,2011-12-04 13:59:00,12.468793342579751
22382,LUNCH BAG SPACEBOY DESIGN,20148,33888.78,2135,97,23,1.65,2010-01-22 16:28:00,2011-12-04 15:19:00,9.437002341920374
22469,HEART OF WICKER SMALL,27811,48759.38,2131,77,15,1.65,2010-04-22 12:12:00,2011-12-04 13:15:00,13.050680431722196
22384,LUNCH BAG PINK POLKADOT,20689,33894.82,2088,96,23,1.65,2010-01-25 11:18:00,2011-12-04 15:19:00,9.90852490421456
21080,SET/20 RED RETROSPOT PAPER NAPKINS,30593,25007.95,2080,102,21,0.85,2009-12-07 10:42:00,2011-12-04 13:32:00,14.708173076923076
84991,60 TEATIME FAIRY CAKE CASES,53277,26607.11,2077,102,22,0.55,2009-12-07 10:33:00,2011-12-04 15:19:00,25.650938854116514
20728,LUNCH BAG CARS BLUE,24357,41808.82,2025,102,22,1.65,2009-12-07 11:35:00,2011-12-04 15:19:00,12.028148148148148
21754,HOME BUILDING BLOCK WORD,7407,45304.39,2019,102,16,5.95,2009-12-07 10:33:00,2011-12-04 11:56:00,3.6686478454680533
22457,NATURAL SLATE HEART CHALKBOARD,14591,45061.770000000004,2018,85,15,2.95,2010-03-04 10:29:00,2011-12-04 15:13:00,7.230426164519326
22139,RETROSPOT TEA SET CERAMIC 11 PC,10123,50273.630000000005,1997,99,27,4.95,2009-12-07 08:53:00,2011-12-04 16:07:00,5.069103655483225
20724,RED RETROSPOT CHARLOTTE BAG,31351,34049.65,1990,102,19,0.85,2009-12-07 11:19:00,2011-12-04 16:07:00,15.754271356783919
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,18393,51622.94,1980,102,19,2.95,2009-12-07 10:42:00,2011-12-04 13:20:00,9.289393939393939
82482,WOODEN PICTURE FRAME WHITE FINISH,16551,40895.54,1949,93,14,2.55,2009-12-07 08:13:00,2011-12-04 12:52:00,8.492047203694202
21977,PACK OF 60 PINK PAISLEY CAKE CASES,55321,27671.5,1947,102,24,0.55,2009-12-07 10:33:00,2011-12-04 15:19:00,28.413456599897277
22470,HEART OF WICKER LARGE,17711,53294.83,1934,76,10,2.95,2010-04-22 12:12:00,2011-12-02 16:30:00,9.15770423991727
82494L,WOODEN FRAME ANTIQUE WHITE,14955,42820.39,1920,96,11,2.95,2009-12-07 08:13:00,2011-12-04 12:52:00,7.7890625
20726,LUNCH BAG WOODLAND,21845,37996.6,1882,102,20,1.65,2009-12-07 13:24:00,2011-12-04 13:32:00,11.607332624867162
