StockCode,description,quantity,revenue,invoices,active_weeks,countries,median_price,first_sale,last_sale,quantity_per_invoice
M,Manual,8816,338793.72000000003,776,102,21,2.95,2009-12-08 09:49:00,2011-12-01 13:08:00,11.360824742268042
22423,REGENCY CAKESTAND 3 TIER,26103,325718.47,3880,89,31,12.75,2010-03-15 13:55:00,2011-12-04 16:02:00,6.7275773195876285
DOT,DOTCOM POSTAGE,1386,287752.75,1386,101,1,153.20499999999998,2009-12-07 17:56:00,2011-12-02 16:39:00,1.0
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91737,251100.59,5228,102,23,2.95,2009-12-07 08:13:00,2011-12-04 15:00:00,17.54724560061209
85099B,JUMBO BAG RED RETROSPOT,95108,177408.76,3897,102,22,1.95,2009-12-07 11:35:00,2011-12-04 13:55:00,24.405440082114445
47566,PARTY BUNTING,28085,147630.35,2649,101,21,4.95,2009-12-07 11:39:00,2011-12-04 14:51:00,10.602114005285014
84879,ASSORTED COLOUR BIRD ORNAMENT,77387,125036.59999999999,2739,102,19,1.69,2009-12-07 11:20:00,2011-12-04 14:01:00,28.25374224169405
POST,POSTAGE,5239,122783.13,1805,102,25,18.0,2009-12-07 10:42:00,2011-12-04 16:07:00,2.9024930747922437
22086,PAPER CHAIN KIT 50'S CHRISTMAS,31533,106989.90000000001,1864,82,12,2.95,2009-12-07 10:38:00,2011-12-04 15:35:00,16.91684549356223
23166,MEDIUM CERAMIC TOP STORAGE JAR,77856,81492.97,237,31,10,1.25,2011-01-18 10:01:00,2011-12-02 16:39:00,328.50632911392404
79321,CHILLI LIGHTS,15447,78292.91,1099,95,10,4.95,2009-12-07 08:24:00,2011-12-02 16:39:00,14.055505004549591
22386,JUMBO BAG PINK POLKADOT,39335,76055.91,2232,96,17,1.95,2010-01-29 12:35:00,2011-12-04 13:59:00,17.62320788530466
22197,SMALL POPCORN HOLDER,83366,75089.31999999999,2262,102,16,0.85,2009-12-07 11:05:00,2011-12-04 16:02:00,36.85499557913351
20725,LUNCH BAG RED RETROSPOT,39747,70137.21,2991,102,21,1.65,2009-12-07 11:35:00,2011-12-04 15:19:00,13.288866599799398
85099F,JUMBO BAG STRAWBERRY,36575,67441.75,1801,101,16,1.95,2009-12-07 11:52:00,2011-12-04 13:59:00,20.308162132148805
48138,DOORMAT UNION FLAG,10022,66554.66,1650,101,12,7.49,2009-12-15 11:56:00,2011-12-04 11:55:00,6.073939393939394
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,29049,65821.65,695,75,15,2.55,2009-12-07 17:56:00,2011-12-04 15:54:00,41.79712230215827
20685,DOORMAT RED RETROSPOT,9569,64950.27,1670,101,18,7.95,2009-12-07 10:33:00,2011-12-04 12:52:00,5.729940119760479
21843,RED RETROSPOT CAKE STAND,6001,63289.439999999995,1484,102,18,10.95,2009-12-07 10:33:00,2011-12-04 13:32:00,4.043800539083558
22502,PICNIC BASKET WICKER SMALL,3766,60880.3,924,69,8,5.95,2010-05-23 10:54:00,2011-09-25 14:33:00,4.075757575757576
21931,JUMBO STORAGE BAG SUKI,28682,60423.29,2265,102,17,1.95,2009-12-07 13:48:00,2011-12-04 13:59:00,12.663134657836645
23084,RABBIT NIGHT LIGHT,27536,59757.5,919,30,19,2.08,2011-05-10 14:20:00,2011-12-04 16:02:00,29.963003264417846
21621,VINTAGE UNION JACK BUNTING,6821,59606.409999999996,1265,100,10,8.5,2009-12-07 08:53:00,2011-12-04 13:20:00,5.3920948616600795
21137,BLACK RECORD COVER FRAME,17119,59451.0,599,97,8,3.75,2009-12-07 12:08:00,2011-12-04 12:32:00,28.579298831385643
85099C,JUMBO  BAG BAROQUE BLACK WHITE,29983,57741.340000000004,1820,102,15,1.95,2009-12-07 14:44:00,2011-12-04 16:02:00,16.474175824175823
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,17998,56703.62,1374,49,12,2.95,2010-09-19 10:20:00,2011-12-04 14:51:00,13.098981077147016
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,26970,56592.93,2163,96,19,1.95,2010-01-29 13:52:00,2011-12-04 13:59:00,12.468793342579751
15056N,EDWARDIAN PARASOL NATURAL,10509,55157.28,1009,102,13,5.95,2009-12-07 08:13:00,2011-12-04 14:55:00,10.415262636273539
82484,WOOD BLACK BOARD ANT WHITE FINISH,9506,54876.7,1155,86,15,6.75,2010-04-11 10:30:00,2011-12-04 15:19:00,8.23030303030303
22112,CHOCOLATE HOT WATER BOTTLE,10448,54493.79,1634,102,16,4.95,2009-12-07 12:08:00,2011-12-04 15:00:00,6.394124847001224
