StockCode,description,quantity,revenue,invoices,active_weeks,countries,median_price,first_sale,last_sale,quantity_per_invoice
POST,POSTAGE,5239,122783.13,1805,102,25,18.0,2009-12-07 10:42:00,2011-12-04 16:07:00,2.9024930747922437
DOT,DOTCOM POSTAGE,1386,287752.75,1386,101,1,153.20499999999998,2009-12-07 17:56:00,2011-12-02 16:39:00,1.0
15056BL,EDWARDIAN PARASOL BLACK,8406,42922.82,827,102,14,5.95,2009-12-07 08:13:00,2011-12-02 13:21:00,10.164449818621524
M,Manual,8816,338793.72000000003,776,102,21,2.95,2009-12-08 09:49:00,2011-12-01 13:08:00,11.360824742268042
C2,CARRIAGE,266,13326.0,265,90,4,50.0,2009-12-07 09:25:00,2011-12-01 17:51:00,1.0037735849056604
79323LP,LIGHT PINK CHERRY LIGHTS,1351,7982.97,158,21,3,6.75,2009-12-08 11:44:00,2010-10-25 16:08:00,8.550632911392405
18098c,PORCELAIN BUTTERFLY OIL BURNER,283,1433.08,130,32,1,5.06,2009-12-22 15:05:00,2010-12-21 15:17:00,2.1769230769230767
15056n,EDWARDIAN PARASOL NATURAL,173,2170.4,116,52,1,12.46,2010-06-08 15:24:00,2011-11-30 14:11:00,1.4913793103448276
47566b,TEA TIME PARTY BUNTING,212,1761.2599999999998,113,35,1,8.29,2010-06-24 11:33:00,2011-11-08 15:24:00,1.8761061946902655
72349b,SET/6 PURPLE BUTTERFLY T-LIGHTS,186,773.73,106,46,1,4.13,2009-12-22 14:48:00,2011-12-02 10:08:00,1.7547169811320755
85123a,WHITE HANGING HEART T-LIGHT HOLDER,492,3284.8999999999996,95,47,1,6.63,2010-06-08 15:24:00,2011-11-30 14:46:00,5.178947368421053
84970s,HANGING HEART ZINC T-LIGHT HOLDER,363,763.24,94,48,1,2.08,2010-06-04 14:55:00,2011-11-30 14:11:00,3.8617021276595747
15056bl,EDWARDIAN PARASOL BLACK,110,1381.02,84,50,1,12.46,2009-12-22 15:06:00,2011-11-29 11:23:00,1.3095238095238095
82494l,WOODEN FRAME ANTIQUE WHITE,361,3015.0,82,39,1,8.29,2010-05-05 14:23:00,2011-12-02 10:08:00,4.402439024390244
84997b,CHILDRENS CUTLERY RETROSPOT RED,504,4239.67,81,51,1,8.29,2010-06-24 11:40:00,2011-11-30 14:46:00,6.222222222222222
