StockCode,Week,quantity,revenue,invoices
10002,2009-12-07/2009-12-13,24,21.25,4
10002,2009-12-14/2009-12-20,37,32.3,3
10002,2009-12-21/2009-12-27,14,12.75,3
10002,2010-01-04/2010-01-10,15,12.75,2
10002,2010-01-11/2010-01-17,191,162.35,4
10002,2010-01-18/2010-01-24,41,35.66,5
10002,2010-01-25/2010-01-31,44,38.209999999999994,6
10002,2010-02-01/2010-02-07,16,14.41,3
10002,2010-02-08/2010-02-14,43,36.55,3
10002,2010-02-15/2010-02-21,37,32.26,4
10002,2010-02-22/2010-02-28,161,136.85,5
10002,2010-03-01/2010-03-07,455,337.99,6
10002,2010-03-08/2010-03-14,28,27.04,3
10002,2010-03-15/2010-03-21,25,21.25,2
10002,2010-03-22/2010-03-28,85,72.25,4
10002,2010-03-29/2010-04-04,84,65.16,4
10002,2010-04-05/2010-04-11,747,540.05,7
10002,2010-04-12/2010-04-18,47,39.949999999999996,4
10002,2010-04-19/2010-04-25,267,200.95,4
10002,2010-04-26/2010-05-02,35,32.18,7
10002,2010-05-03/2010-05-09,162,134.57999999999998,8
10002,2010-05-10/2010-05-16,1076,817.0,6
10002,2010-05-17/2010-05-23,164,139.39999999999998,7
10002,2010-05-24/2010-05-30,63,66.50999999999999,12
10002,2010-05-31/2010-06-06,89,78.08,8
10002,2010-06-07/2010-06-13,128,113.78,12
10002,2010-06-14/2010-06-20,205,174.25,6
10002,2010-06-21/2010-06-27,25,24.49,7
10002,2010-06-28/2010-07-04,36,30.599999999999998,7
10002,2010-07-05/2010-07-11,129,116.94,6
10002,2010-07-12/2010-07-18,33,28.05,4
10002,2010-07-19/2010-07-25,271,204.35,7
10002,2010-07-26/2010-08-01,69,58.65,6
10002,2010-08-02/2010-08-08,236,175.41,6
10002,2010-08-09/2010-08-15,65,56.87,8
10002,2010-08-16/2010-08-22,2,3.32,2
10002,2010-08-23/2010-08-29,272,205.2,5
10002,2010-08-30/2010-09-05,1,0.85,1
10002,2010-09-06/2010-09-12,44,37.4,5
10002,2010-09-13/2010-09-19,33,28.86,4
10002,2010-09-20/2010-09-26,126,115.19999999999999,7
10002,2010-09-27/2010-10-03,449,330.46,6
10002,2010-10-04/2010-10-10,48,40.8,3
10002,2010-10-11/2010-10-17,486,370.82,10
10002,2010-10-18/2010-10-24,47,39.949999999999996,5
10002,2010-10-25/2010-10-31,52,44.199999999999996,3
10002,2010-11-01/2010-11-07,170,144.5,10
10002,2010-11-08/2010-11-14,4,3.4,1
10002,2010-11-15/2010-11-21,718,542.85,14
10002,2010-11-22/2010-11-28,51,46.589999999999996,10
10002,2010-11-29/2010-12-05,91,83.01999999999998,9
10002,2010-12-06/2010-12-12,138,127.02,14
10002,2010-12-13/2010-12-19,41,38.9,8
10002,2010-12-20/2010-12-26,2,3.32,1
10002,2011-01-03/2011-01-09,73,62.86,3
10002,2011-01-10/2011-01-16,42,35.699999999999996,5
10002,2011-01-17/2011-01-23,76,65.38,8
10002,2011-01-24/2011-01-30,17,15.23,3
10002,2011-01-31/2011-02-06,133,113.05,3
10002,2011-02-07/2011-02-13,1,0.85,1
10002,2011-02-14/2011-02-20,14,13.459999999999999,3
10002,2011-02-21/2011-02-27,36,30.599999999999998,2
10002,2011-02-28/2011-03-06,4,4.96,2
10002,2011-03-07/2011-03-13,2,3.26,1
10002,2011-03-14/2011-03-20,11,10.129999999999999,3
10002,2011-03-21/2011-03-27,11,9.35,2
10002,2011-03-28/2011-04-03,126,107.1,3
10002,2011-04-11/2011-04-17,62,52.699999999999996,1
10002,2011-04-18/2011-04-24,1,0.85,1
10002R,2009-12-14/2009-12-20,2,10.34,1
10002R,2010-01-25/2010-01-31,1,5.06,1
10080,2010-07-26/2010-08-01,1,0.85,1
10080,2010-09-13/2010-09-19,6,5.1,1
10080,2010-11-15/2010-11-21,1,0.85,1
10080,2011-02-21/2011-02-27,2,1.7,1
10080,2011-06-20/2011-06-26,48,18.72,1
10080,2011-06-27/2011-07-03,12,4.68,1
10080,2011-07-04/2011-07-10,12,4.68,1
10080,2011-07-25/2011-07-31,12,4.68,1
10080,2011-08-01/2011-08-07,48,18.72,3
10080,2011-08-22/2011-08-28,12,4.68,1
10080,2011-09-05/2011-09-11,36,14.04,2
10080,2011-09-19/2011-09-25,12,4.68,1
10080,2011-09-26/2011-10-02,12,4.68,1
10080,2011-10-10/2011-10-16,4,1.56,2
10080,2011-10-24/2011-10-30,2,0.78,1
10080,2011-10-31/2011-11-06,24,9.36,1
10080,2011-11-07/2011-11-13,24,9.36,1
10080,2011-11-14/2011-11-20,16,6.24,2
10080,2011-11-21/2011-11-27,27,10.530000000000001,2
10120,2009-12-07/2009-12-13,8,2.56,4
10120,2009-12-14/2009-12-20,6,2.14,4
10120,2009-12-21/2009-12-27,1,0.43,1
10120,2010-01-04/2010-01-10,31,6.51,2
10120,2010-01-11/2010-01-17,1,0.43,1
10120,2010-02-08/2010-02-14,4,1.72,1
10120,2010-02-15/2010-02-21,1,0.43,1
10120,2010-03-01/2010-03-07,62,13.02,3
10120,2010-03-08/2010-03-14,6,1.26,1
10120,2010-03-29/2010-04-04,30,6.3,1
10120,2010-04-26/2010-05-02,30,6.3,1
10120,2010-05-17/2010-05-23,4,0.84,1
10120,2010-06-07/2010-06-13,30,6.3,1
10120,2010-07-05/2010-07-11,3,0.63,1
10120,2010-09-13/2010-09-19,9,1.8900000000000001,2
10120,2010-10-04/2010-10-10,30,6.3,1
10120,2010-10-11/2010-10-17,30,6.3,1
10120,2010-10-25/2010-10-31,11,2.31,2
10120,2010-11-01/2010-11-07,18,3.7800000000000002,3
10120,2010-11-15/2010-11-21,2,0.42,1
10120,2010-11-22/2010-11-28,45,9.450000000000001,7
10120,2010-11-29/2010-12-05,13,2.73,3
10120,2010-12-06/2010-12-12,13,2.73,2
10120,2011-02-14/2011-02-20,30,6.3,1
10120,2011-02-28/2011-03-06,11,2.31,1
10120,2011-03-07/2011-03-13,16,3.36,2
10120,2011-03-28/2011-04-03,1,0.21,1
10120,2011-05-09/2011-05-15,1,0.21,1
10120,2011-05-16/2011-05-22,2,0.42,1
10120,2011-07-04/2011-07-10,5,1.05,1
10120,2011-08-01/2011-08-07,5,1.05,1
10120,2011-08-22/2011-08-28,30,6.3,1
10120,2011-08-29/2011-09-04,3,0.63,1
10120,2011-09-19/2011-09-25,1,0.21,1
10120,2011-09-26/2011-10-02,6,1.26,2
10120,2011-10-03/2011-10-09,5,1.05,1
10120,2011-10-17/2011-10-23,5,1.05,1
10120,2011-10-31/2011-11-06,38,7.98,5
10120,2011-11-14/2011-11-20,6,1.26,1
10120,2011-11-21/2011-11-27,1,0.21,1
10120,2011-11-28/2011-12-04,10,2.1,2
10123C,2009-12-07/2009-12-13,15,11.05,5
10123C,2009-12-14/2009-12-20,123,69.08,6
10123C,2010-01-11/2010-01-17,3,3.21,2
10123C,2010-01-18/2010-01-24,13,9.08,2
10123C,2010-01-25/2010-01-31,14,10.360000000000001,2
10123C,2010-02-08/2010-02-14,1,0.65,1
10123C,2010-02-15/2010-02-21,12,7.800000000000001,1
10123C,2010-03-08/2010-03-14,1,1.28,1
10123C,2010-03-15/2010-03-21,12,9.06,2
10123C,2010-03-22/2010-03-28,5,3.88,2
10123C,2010-04-05/2010-04-11,1,1.28,1
10123C,2010-04-19/2010-04-25,2,1.3,1
10123C,2010-04-26/2010-05-02,13,9.08,2
10123C,2010-05-03/2010-05-09,1,1.28,1
10123C,2010-05-10/2010-05-16,12,7.800000000000001,1
10123C,2010-05-17/2010-05-23,1,0.65,1
10123C,2010-05-24/2010-05-30,37,24.680000000000003,3
10123C,2010-05-31/2010-06-06,1,1.28,1
10123C,2010-06-21/2010-06-27,1,0.65,1
10123C,2010-07-05/2010-07-11,1,0.65,1
10123C,2010-07-12/2010-07-18,2,1.3,2
10123C,2010-08-09/2010-08-15,147,11.22,3
10123C,2010-08-23/2010-08-29,17,11.05,2
10123C,2010-08-30/2010-09-05,12,7.800000000000001,1
