StockCode,description,quantity,revenue,invoices,active_weeks,countries,median_price,first_sale,last_sale,quantity_per_invoice,quantity_share_pct,quantity_cumulative_pct
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,104335,24006.829999999998,992,101,15,0.29,2009-12-07 13:07:00,2011-12-02 17:06:00,105.17641129032258,0.9647659539841732,0.9647659539841732
85099B,JUMBO BAG RED RETROSPOT,95108,177408.76,3897,102,22,1.95,2009-12-07 11:35:00,2011-12-04 13:55:00,24.405440082114445,0.879445635228128,1.8442115892123012
21212,PACK OF 72 RETROSPOT CAKE CASES,93090,50706.5,3040,102,26,0.55,2009-12-07 10:33:00,2011-12-04 14:51:00,30.62171052631579,0.8607855720169327,2.704997161229234
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91737,251100.59,5228,102,23,2.95,2009-12-07 08:13:00,2011-12-04 15:00:00,17.54724560061209,0.8482746376637379,3.553271798892972
22197,SMALL POPCORN HOLDER,83366,75089.31999999999,2262,102,16,0.85,2009-12-07 11:05:00,2011-12-04 16:02:00,36.85499557913351,0.7708695885354347,4.324141387428407
23166,MEDIUM CERAMIC TOP STORAGE JAR,77856,81492.97,237,31,10,1.25,2011-01-18 10:01:00,2011-12-02 16:39:00,328.50632911392404,0.7199196637120026,5.044061051140409
84879,ASSORTED COLOUR BIRD ORNAMENT,77387,125036.59999999999,2739,102,19,1.69,2009-12-07 11:20:00,2011-12-04 14:01:00,28.25374224169405,0.7155829096753075,5.759643960815717
17003,BROCADE RING PURSE,69909,14617.74,441,96,7,0.25,2009-12-07 17:56:00,2011-12-04 13:00:00,158.52380952380952,0.6464352621563192,6.4060792229720365
21977,PACK OF 60 PINK PAISLEY CAKE CASES,55321,27671.5,1947,102,24,0.55,2009-12-07 10:33:00,2011-12-04 15:19:00,28.413456599897277,0.5115427933134465,6.917622016285483
84991,60 TEATIME FAIRY CAKE CASES,53277,26607.11,2077,102,22,0.55,2009-12-07 10:33:00,2011-12-04 15:19:00,25.650938854116514,0.4926423130341189,7.4102643293196016
15036,ASSORTED COLOURS SILK FAN,43921,32754.26,977,100,14,0.83,2009-12-07 11:19:00,2011-12-02 17:06:00,44.95496417604913,0.40612915574772485,7.8163934850673265
22492,MINI PAINT SET VINTAGE,43326,27670.670000000002,726,82,23,0.65,2010-05-06 11:50:00,2011-12-02 13:58:00,59.67768595041322,0.4006273036116192,8.217020788678946
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,40213,25025.59,1242,102,13,0.65,2009-12-07 11:35:00,2011-12-01 16:22:00,32.37761674718197,0.37184198310792693,8.588862771786873
21213,PACK OF 72 SKULL CAKE CASES,39824,21137.56,1451,102,21,0.55,2009-12-07 15:42:00,2011-12-04 15:19:00,27.445899379738112,0.3682449738962545,8.957107745683128
20725,LUNCH BAG RED RETROSPOT,39747,70137.21,2991,102,21,1.65,2009-12-07 11:35:00,2011-12-04 15:19:00,13.288866599799398,0.36753296950217024,9.324640715185298
22386,JUMBO BAG PINK POLKADOT,39335,76055.91,2232,96,17,1.95,2010-01-29 12:35:00,2011-12-04 13:59:00,17.62320788530466,0.3637232836533038,9.688363998838602
22178,VICTORIAN GLASS HANGING T-LIGHT,39195,50797.88,1768,102,17,1.25,2009-12-07 10:51:00,2011-12-04 15:16:00,22.169117647058822,0.3624287302095142,10.050792729048116
22616,PACK OF 12 LONDON TISSUES,38582,12267.41,809,82,10,0.29,2010-05-06 11:50:00,2011-12-02 13:12:00,47.69097651421508,0.35676043548777847,10.407553164535894
21232,STRAWBERRY CERAMIC TRINKET BOX,36757,47626.29,2361,102,24,1.25,2009-12-07 08:24:00,2011-12-04 15:47:00,15.56840321897501,0.33988500666695026,10.747438171202845
85099F,JUMBO BAG STRAWBERRY,36575,67441.75,1801,101,16,1.95,2009-12-07 11:52:00,2011-12-04 13:59:00,20.308162132148805,0.3382020871900238,11.085640258392868
84568,GIRLS ALPHABET IRON ON PATCHES,36308,7590.7,300,90,8,0.42,2009-12-07 18:02:00,2011-12-02 16:39:00,121.02666666666667,0.3357331888365108,11.421373447229378
21915,RED  HARMONICA IN BOX,36286,42660.79,1023,89,20,1.25,2010-03-17 10:22:00,2011-12-02 12:19:00,35.47018572825024,0.3355297590096296,11.756903206239008
84946,ANTIQUE SILVER TEA GLASS ETCHED,35675,47807.37,1710,102,9,1.25,2009-12-07 10:51:00,2011-12-04 15:18:00,20.862573099415204,0.3298799579085195,12.086783164147526
84992,72 SWEETHEART FAIRY CAKE CASES,34134,16912.65,1419,102,20,0.55,2009-12-07 17:56:00,2011-12-04 15:19:00,24.054968287526428,0.31563062321652147,12.402413787364047
71459,HANGING JAM JAR T-LIGHT HOLDER,32713,26479.47,1002,101,10,0.85,2009-12-07 17:56:00,2011-12-01 16:22:00,32.647704590818364,0.3024909057620574,12.704904693126105
22952,60 CAKE CASES VINTAGE CHRISTMAS,32435,18874.3,1113,50,19,0.55,2010-09-17 15:04:00,2011-12-04 15:13:00,29.141958670260557,0.2999202924951038,13.004824985621209
21982,PACK OF 12 SUKI TISSUES,31979,10345.869999999999,702,92,11,0.29,2009-12-07 18:02:00,2011-12-02 16:39:00,45.554131054131055,0.2957037469924749,13.300528732613683
22086,PAPER CHAIN KIT 50'S CHRISTMAS,31533,106989.90000000001,1864,82,12,2.95,2009-12-07 10:38:00,2011-12-04 15:35:00,16.91684549356223,0.2915796695929739,13.592108402206657
20724,RED RETROSPOT CHARLOTTE BAG,31351,34049.65,1990,102,19,0.85,2009-12-07 11:19:00,2011-12-04 16:07:00,15.754271356783919,0.2898967501160475,13.882005152322705
22355,CHARLOTTE BAG SUKI DESIGN,30996,43707.4,1698,102,16,0.85,2009-12-07 09:18:00,2011-12-04 14:51:00,18.25441696113074,0.28661413245500966,14.168619284777714
21975,PACK OF 60 DINOSAUR CAKE CASES,30938,15026.12,1277,102,24,0.55,2009-12-07 15:02:00,2011-12-04 11:45:00,24.227094753328114,0.2860778174568683,14.454697102234583
21080,SET/20 RED RETROSPOT PAPER NAPKINS,30593,25007.95,2080,102,21,0.85,2009-12-07 10:42:00,2011-12-04 13:32:00,14.708173076923076,0.28288766789895825,14.737584770133541
85099C,JUMBO  BAG BAROQUE BLACK WHITE,29983,57741.340000000004,1820,102,15,1.95,2009-12-07 14:44:00,2011-12-04 16:02:00,16.474175824175823,0.27724711360816084,15.014831883741701
16014,SMALL CHINESE STYLE SCISSOR,29275,9481.5,91,58,6,0.42,2009-12-07 11:40:00,2011-12-01 13:32:00,321.7032967032967,0.27070037190671076,15.285532255648413
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,29049,65821.65,695,75,15,2.55,2009-12-07 17:56:00,2011-12-04 15:54:00,41.79712230215827,0.2686105927760219,15.554142848424435
21931,JUMBO STORAGE BAG SUKI,28682,60423.29,2265,102,17,1.95,2009-12-07 13:48:00,2011-12-04 13:59:00,12.663134657836645,0.2652170133912307,15.819359861815666
21731,RED TOADSTOOL LED NIGHT LIGHT,28471,47426.78999999999,1495,101,22,1.65,2009-12-07 10:41:00,2011-12-04 16:07:00,19.044147157190636,0.26326593641523355,16.0826257982309
47566,PARTY BUNTING,28085,147630.35,2649,101,21,4.95,2009-12-07 11:39:00,2011-12-04 14:51:00,10.602114005285014,0.2596966676344995,16.3423224658654
22469,HEART OF WICKER SMALL,27811,48759.38,2131,77,15,1.65,2010-04-22 12:12:00,2011-12-04 13:15:00,13.050680431722196,0.25716304160879705,16.5994855074742
23084,RABBIT NIGHT LIGHT,27536,59757.5,919,30,19,2.08,2011-05-10 14:20:00,2011-12-04 16:02:00,29.963003264417846,0.2546201687727818,16.85410567624698
22151,PLACE SETTING WHITE HEART,27215,11463.449999999999,700,102,12,0.42,2009-12-07 12:12:00,2011-12-04 15:00:00,38.878571428571426,0.2516519426623786,17.105757618909358
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,26970,56592.93,2163,96,19,1.95,2010-01-29 13:52:00,2011-12-04 13:59:00,12.468793342579751,0.24938647413574688,17.355144093045105
21980,PACK OF 12 RED RETROSPOT TISSUES,26958,7530.03,655,100,16,0.29,2009-12-07 15:42:00,2011-12-01 14:55:00,41.157251908396944,0.24927551241199347,17.6044196054571
21790,VINTAGE SNAP CARDS,26733,23010.5,1828,102,16,0.85,2009-12-07 10:33:00,2011-12-04 14:55:00,14.62417943107221,0.2471949800916174,17.851614585548717
20727,LUNCH BAG  BLACK SKULL.,26289,44899.47,2302,102,18,1.65,2009-12-07 10:48:00,2011-12-04 15:19:00,11.420069504778454,0.24308939631274193,18.094703981861457
21498,RED RETROSPOT WRAP,26151,10610.42,786,101,16,0.42,2009-12-07 13:57:00,2011-12-04 12:52:00,33.270992366412216,0.24181333648957792,18.336517318351035
22423,REGENCY CAKESTAND 3 TIER,26103,325718.47,3880,89,31,12.75,2010-03-15 13:55:00,2011-12-04 16:02:00,6.7275773195876285,0.24136948959456436,18.5778868079456
84970S,HANGING HEART ZINC T-LIGHT HOLDER,26007,21327.199999999997,1397,102,17,0.85,2009-12-07 17:56:00,2011-12-04 12:52:00,18.61632068718683,0.2404817958045372,18.818368603750137
37410,BLACK AND WHITE PAISLEY FLOWER MUG,25490,3088.57,31,12,2,1.25,2009-12-07 11:55:00,2010-04-07 14:10:00,822.258064516129,0.23570119487282862,19.054069798622965
21985,PACK OF 12 HEARTS DESIGN TISSUES,25255,8881.91,895,102,13,0.29,2009-12-07 11:47:00,2011-12-01 16:22:00,28.217877094972067,0.2335281944493247,19.28759799307229
21929,JUMBO BAG PINK VINTAGE PAISLEY,25250,48936.14,1577,97,15,1.95,2009-12-07 14:10:00,2011-12-04 13:59:00,16.01141407736208,0.23348196039776078,19.52107995347005
22383,LUNCH BAG SUKI  DESIGN,24946,42968.62,2378,97,17,1.65,2010-01-22 16:28:00,2011-12-04 15:19:00,10.490328006728344,0.2306709300626749,19.751750883532726
84212,"ASSORTED FLOWER COLOUR ""LEIS""",24740,11926.39,275,88,9,0.65,2009-12-07 15:28:00,2011-11-30 15:27:00,89.96363636363637,0.22876608713824167,19.980516970670966
20728,LUNCH BAG CARS BLUE,24357,41808.82,2025,102,22,1.65,2009-12-07 11:35:00,2011-12-04 15:19:00,12.028148148148148,0.22522455878844594,20.205741529459413
20719,WOODLAND CHARLOTTE BAG,24043,26980.48,1543,101,18,0.85,2009-12-07 10:41:00,2011-12-04 16:07:00,15.58198314970836,0.2223210603502322,20.428062589809645
21181,PLEASE ONE PERSON METAL SIGN,23984,48475.75000000001,1734,77,11,2.1,2009-12-07 12:08:00,2011-12-04 15:19:00,13.831603229527104,0.22177549854177803,20.649838088351423
21928,JUMBO BAG SCANDINAVIAN PAISLEY,23979,45614.82,1512,100,12,1.95,2009-12-07 14:44:00,2011-12-04 13:59:00,15.859126984126984,0.2217292644902141,20.871567352841637
84270,ASSTD DESIGN BUBBLE GUM RING,22182,4665.08,454,50,9,0.21,2009-12-07 13:32:00,2010-12-06 16:57:00,48.859030837004404,0.20511274635814375,21.07668009919978
20726,LUNCH BAG WOODLAND,21845,37996.6,1882,102,20,1.65,2009-12-07 13:24:00,2011-12-04 13:32:00,11.607332624867162,0.20199657128273601,21.278676670482515
21981,PACK OF 12 WOODLAND TISSUES,21703,5977.889999999999,530,91,16,0.29,2009-12-07 15:42:00,2011-12-02 16:39:00,40.949056603773585,0.2006835242183209,21.479360194700835
84978,HANGING HEART JAR T-LIGHT HOLDER,21446,28177.350000000002,1404,101,9,1.25,2009-12-07 11:35:00,2011-12-04 13:00:00,15.274928774928775,0.19830709396793575,21.677667288668772
22417,PACK OF 60 SPACEBOY CAKE CASES,21358,11106.65,1095,96,23,0.55,2010-01-31 15:47:00,2011-12-04 11:45:00,19.50502283105023,0.1974933746604109,21.875160663329183
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,21305,17480.31,637,90,11,0.85,2009-12-22 15:12:00,2011-12-04 13:00:00,33.445839874411305,0.1970032937138334,22.072163957043017
21984,PACK OF 12 PINK PAISLEY TISSUES,21139,5957.83,419,99,13,0.29,2009-12-10 11:40:00,2011-12-02 16:39:00,50.45107398568019,0.1954683232019115,22.26763228024493
20971,PINK BLUE FELT CRAFT TRINKET BOX,21036,27211.86,1116,102,16,1.25,2009-12-07 11:05:00,2011-12-04 15:00:00,18.849462365591396,0.19451590173969488,22.462148181984624
22384,LUNCH BAG PINK POLKADOT,20689,33894.82,2088,96,23,1.65,2010-01-25 11:18:00,2011-12-04 15:19:00,9.90852490421456,0.19130725856115932,22.653455440545784
20713,JUMBO BAG OWLS,20503,39973.21,1273,89,16,1.95,2009-12-07 15:26:00,2011-12-02 15:39:00,16.106048703849176,0.18958735184298176,22.843042792388765
22629,SPACEBOY LUNCH BOX,20441,37303.619999999995,1344,74,21,1.95,2010-07-01 11:59:00,2011-12-04 13:54:00,15.209077380952381,0.18901404960358925,23.032056841992354
