StockCode,description,quantity,revenue,invoices,active_weeks,countries,median_price,first_sale,last_sale,quantity_per_invoice,revenue_share_pct,revenue_cumulative_pct
M,Manual,8816,338793.72000000003,776,102,21,2.95,2009-12-08 09:49:00,2011-12-01 13:08:00,11.360824742268042,1.7192266136685679,1.7192266136685679
22423,REGENCY CAKESTAND 3 TIER,26103,325718.47,3880,89,31,12.75,2010-03-15 13:55:00,2011-12-04 16:02:00,6.7275773195876285,1.6528755674320261,3.372102181100594
DOT,DOTCOM POSTAGE,1386,287752.75,1386,101,1,153.20499999999998,2009-12-07 17:56:00,2011-12-02 16:39:00,1.0,1.4602165174617698,4.832318698562364
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91737,251100.59,5228,102,23,2.95,2009-12-07 08:13:00,2011-12-04 15:00:00,17.54724560061209,1.274223197041195,6.106541895603559
85099B,JUMBO BAG RED RETROSPOT,95108,177408.76,3897,102,22,1.95,2009-12-07 11:35:00,2011-12-04 13:55:00,24.405440082114445,0.9002701162522719,7.006812011855831
47566,PARTY BUNTING,28085,147630.35,2649,101,21,4.95,2009-12-07 11:39:00,2011-12-04 14:51:00,10.602114005285014,0.7491580030031414,7.755970014858972
84879,ASSORTED COLOUR BIRD ORNAMENT,77387,125036.59999999999,2739,102,19,1.69,2009-12-07 11:20:00,2011-12-04 14:01:00,28.25374224169405,0.6345048261302815,8.390474840989254
POST,POSTAGE,5239,122783.13,1805,102,25,18.0,2009-12-07 10:42:00,2011-12-04 16:07:00,2.9024930747922437,0.6230694736771613,9.013544314666415
22086,PAPER CHAIN KIT 50'S CHRISTMAS,31533,106989.90000000001,1864,82,12,2.95,2009-12-07 10:38:00,2011-12-04 15:35:00,16.91684549356223,0.5429258944756671,9.556470209142082
23166,MEDIUM CERAMIC TOP STORAGE JAR,77856,81492.97,237,31,10,1.25,2011-01-18 10:01:00,2011-12-02 16:39:00,328.50632911392404,0.41354037746300076,9.970010586605083
79321,CHILLI LIGHTS,15447,78292.91,1099,95,10,4.95,2009-12-07 08:24:00,2011-12-02 16:39:00,14.055505004549591,0.3973015040938715,10.367312090698954
22386,JUMBO BAG PINK POLKADOT,39335,76055.91,2232,96,17,1.95,2010-01-29 12:35:00,2011-12-04 13:59:00,17.62320788530466,0.38594972952503775,10.753261820223992
22197,SMALL POPCORN HOLDER,83366,75089.31999999999,2262,102,16,0.85,2009-12-07 11:05:00,2011-12-04 16:02:00,36.85499557913351,0.38104471755342884,11.134306537777421
