Country,quantity,revenue,invoices,products,quantity_share_pct,revenue_share_pct
United Kingdom,8829381,16695664.197,35546,4869,81.6436112862868,84.723029164637
Netherlands,371848,536090.77,222,1220,3.4384079211875864,2.7204209072295527
EIRE,332366,650869.27,616,2807,3.0733253564183034,3.3028704634874364
France,268320,343384.54,606,2003,2.4811041431258287,1.7425229720619937
Denmark,236818,67403.79,41,441,2.189811124652551,0.3420440899262456
Germany,221257,417765.211,776,2168,2.045921509375341,2.119971612862437
Australia,103659,169087.36000000002,94,785,0.9585151102127322,0.8580427327488775
Sweden,88593,91631.82,104,587,0.8192026660403494,0.4649905069163848
Switzerland,52762,100685.59,93,1280,0.48788020572303586,0.5109343406392592
Spain,49529,107580.4,151,1393,0.45798526798180966,0.5459224178922502
Belgium,34026,63841.31,144,975,0.31463196770274093,0.323966097138593
Japan,31643,43023.909999999996,33,296,0.29259681872737997,0.21832710209646516
Portugal,25779,52457.590000000004,91,930,0.2383735230532228,0.26619880916598493
Norway,21302,53536.8,42,676,0.19697555328289507,0.27167531727167604
Channel Islands,20897,43435.75,53,748,0.19323059510621812,0.22041700591337554
Italy,15267,31907.72,64,787,0.14117105304525204,0.16191740922908734
Finland,14375,29925.54,57,583,0.13292289824624995,0.1518587321996502
Austria,11430,22929.81,44,549,0.10569104187510518,0.11635853108010286
Cyprus,10553,24089.26,36,810,0.09758158923079484,0.12224222130086025
Greece,7488,18415.2,17,490,0.06924011562211616,0.09344890435404
United Arab Emirates,7321,11097.63,16,365,0.06769589829988146,0.05631550916778123
Hong Kong,7021,23685.52,15,209,0.06492185520604668,0.1201934213614678
Singapore,6994,25317.06,11,245,0.06467219132760155,0.12847275720412984
Unspecified,6729,10927.16,24,555,0.062221786594714154,0.055450450155376634
Israel,5538,11328.81,10,310,0.05120883551219007,0.05748864427945893
Poland,5422,10282.47,27,278,0.050136205515907285,0.05217893672364599
USA,4855,7610.58,18,271,0.04489326406855955,0.038620289896323136
Canada,3657,4883.04,8,215,0.033815585313845986,0.024779244206793928
Bermuda,2798,1253.1399999999999,1,34,0.02587257525516573,0.006359125070714501
Iceland,2775,4696.71,7,123,0.02565989861797173,0.02383370278729871
Thailand,2552,3070.54,2,76,0.02359785991822121,0.015581617293065186
Malta,2519,8099.09,9,249,0.023292715177899385,0.0410992596748752
Lithuania,2306,4892.68,6,113,0.02132314458127669,0.024828162895593014
RSA,1970,4804.32,4,149,0.018216216316181734,0.02437977541195325
Bahrain,1339,3109.79,10,106,0.012381479008815909,0.015780793489679725
Korea,700,1118.51,2,52,0.006472767218947824,0.005675938029944681
Czech Republic,671,826.74,2,25,0.006204609719877128,0.004195335765327503
Brazil,545,1411.87,2,91,0.00503951162046652,0.00716460883348204
European Community,499,1300.25,4,50,0.00461415834607852,0.0065981872521797495
Lebanon,458,1905.58,2,57,0.004235039123254433,0.009669966286490049
West Indies,395,536.41,1,49,0.003652490073549129,0.0027220408567135085
Nigeria,103,140.39000000000001,2,30,0.0009524214622166084,0.0007124164647825535
Saudi Arabia,80,145.92,1,9,0.0007397448250226085,0.0007404787416558884
