StockCode,returned_units,return_rows,return_invoices
23843,80995.0,1,1
23166,74494.0,10,10
84016,20959.0,10,10
23005,19201.0,3,3
20852,18800.0,5,5
22126,16400.0,3,3
22197,11024.0,92,92
84347,10121.0,8,8
22759,9953.0,5,5
16235,9133.0,5,5
23003,9058.0,1,1
10120,9030.0,2,2
21088,7140.0,2,2
21096,7008.0,1,1
22752,6224.0,26,26
79323W,6054.0,128,126
M,5444.0,534,496
72140F,5368.0,1,1
16047,5251.0,3,3
18007,5234.0,2,2
84270,5151.0,9,9
85110,5074.0,4,4
22758,5018.0,4,4
37340,5014.0,5,5
22753,5012.0,2,2
22756,5012.0,2,2
22755,5012.0,2,2
22754,5012.0,2,2
47566B,5003.0,16,16
22757,5001.0,2,2
C3,4999.0,1,1
22558,4963.0,18,18
22528,4846.0,7,7
16046,4632.0,2,2
16045,4567.0,2,2
35015,4363.0,2,2
20713,4344.0,16,16
85160A,4341.0,2,2
85184D,4215.0,3,3
22433,4215.0,5,5
85123A,4085.0,136,136
16162L,3798.0,2,2
21392,3679.0,3,3
72024HC,3669.0,1,1
84670,3590.0,5,5
84598,3576.0,3,3
85175,3401.0,17,17
16259,3301.0,5,5
71477,3240.0,71,71
79000,3235.0,18,18
21108,3159.0,4,4
47504G,3142.0,3,3
85078,3141.0,3,3
21082,3131.0,3,3
37423,3089.0,3,3
79323LP,3084.0,62,61
D,3064.0,168,146
21900,3045.0,4,4
22138,2994.0,211,211
85160B,2981.0,4,4
16033,2959.0,6,6
47504F,2916.0,1,1
79323P,2914.0,88,88
23270,2886.0,2,2
22617,2843.0,68,68
85220,2789.0,3,3
21175,2753.0,14,14
21829,2618.0,7,7
85099B,2613.0,85,84
22604,2584.0,4,4
20971,2571.0,12,12
22639,2566.0,2,2
22638,2561.0,2,2
22640,2560.0,1,1
22641,2560.0,1,1
22642,2560.0,1,1
22643,2560.0,1,1
79323GR,2546.0,40,40
21393,2518.0,3,3
16053,2514.0,3,3
21830,2513.0,9,9
72732,2472.0,1,1
47587A,2421.0,3,3
17033,2396.0,3,3
23113,2386.0,7,7
23059,2376.0,1,1
17129D,2342.0,3,3
37424,2253.0,3,3
22467,2202.0,68,68
85172,2173.0,10,10
79323B,2046.0,53,53
85109,2038.0,3,3
40016,1960.0,3,3
84934,1943.0,4,4
15036,1929.0,16,16
72225C,1883.0,4,4
23343,1871.0,10,10
22618,1812.0,41,41
22423,1799.0,352,352
21135,1784.0,9,9
85036C,1757.0,5,5
22950,1709.0,7,7
84077,1704.0,11,11
20975,1692.0,14,14
21279,1639.0,6,6
79164,1583.0,8,8
21281,1578.0,3,3
22952,1552.0,6,6
85006,1534.0,11,11
22920,1527.0,2,2
82582,1526.0,11,11
16008,1510.0,1,1
21620,1505.0,3,3
22273,1500.0,10,9
20972,1497.0,10,10
79341,1488.0,26,25
22909,1470.0,13,13
23268,1452.0,2,2
22910,1448.0,18,18
15034,1448.0,6,6
23114,1443.0,3,3
23117,1441.0,2,2
23116,1440.0,1,1
23115,1440.0,1,1
23269,1440.0,1,1
21700,1437.0,8,8
84611B,1433.0,3,3
37370,1423.0,18,18
17038,1400.0,1,1
72232,1400.0,1,1
22351,1400.0,1,1
20668,1398.0,3,3
85099F,1375.0,27,27
22130,1373.0,10,10
37444A,1339.0,3,3
22333,1326.0,22,22
16043,1324.0,4,4
79342B,1316.0,6,6
85036B,1313.0,3,3
20728,1288.0,44,44
85221,1282.0,6,6
35610A,1277.0,1,1
21877,1276.0,24,24
21915,1274.0,16,16
21280,1248.0,1,1
21278,1235.0,5,5
21314,1228.0,68,66
17039,1227.0,1,1
10002,1226.0,8,8
20727,1211.0,45,45
17061,1198.0,1,1
22341,1196.0,9,9
84925D,1184.0,4,4
22578,1183.0,4,4
16044,1177.0,2,2
85222,1160.0,3,3
22670,1160.0,5,5
10123G,1142.0,2,2
47566,1135.0,25,25
84847,1133.0,2,2
85204,1132.0,2,2
72807C,1131.0,19,19
84929,1130.0,5,5
82494L,1123.0,44,43
35610C,1121.0,1,1
84879,1112.0,21,21
21212,1110.0,28,26
22895,1106.0,3,3
21982,1099.0,4,4
22740,1096.0,2,2
20829,1094.0,14,14
17021,1078.0,4,4
21791,1077.0,10,10
23084,1076.0,18,18
35956,1043.0,1,1
72038P,1040.0,2,2
35957,1039.0,3,3
21542,1036.0,8,8
21086,1029.0,6,6
22236,1022.0,49,49
85017C,1016.0,2,2
84990,1015.0,5,5
20726,1015.0,38,38
22178,1008.0,43,43
37444B,1003.0,3,3
47420,1000.0,1,1
15002,1000.0,1,1
21731,990.0,24,24
22147,984.0,14,14
82583,983.0,18,16
21749,979.0,9,9
72225D,978.0,2,2
16015,959.0,3,3
72807B,949.0,15,15
22734,934.0,6,6
20725,931.0,80,79
51008,925.0,8,8
79323S,920.0,24,24
79323G,916.0,27,27
22151,915.0,7,7
75049L,909.0,56,54
20956,905.0,6,6
21679,900.0,5,5
17013C,899.0,3,3
22945,888.0,8,7
21336,882.0,3,3
21871,881.0,26,26
84568,865.0,4,4
15056N,855.0,22,22
20715,855.0,2,2
22127,848.0,7,7
16050,843.0,1,1
37446,839.0,28,28
21622,838.0,19,19
84997C,833.0,11,11
23055,830.0,6,6
22784,811.0,33,33
